Brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,Display Type,Display Size,PPI,Body Ratio,OS,Battery Capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm Jack,Chipset,Network,Card Slot,RAM,Storage
Asus,True,True,True,False,2018.0,Available,165.0,153.0,75.7,7.7,IPS LCD,6.2,402.0,7:9,Android,3300.0,352.0,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),7:9,402.0,Wifi,"Midnight Blue, Meteor Silver",,5.0,Adreno 509,True,True,Qualcomm SDM636 Snapdragon 636 (14 nm),GSM / HSPA / LTE,True,4GB,64GB
Asus,True,True,True,False,2018.0,Available,168.0,160.6,76.2,7.8,IPS LCD,6.0,402.0,18:9,Android,3300.0,220.00000000000003,Octa-core 2.2 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,18:9,402.0,Wifi,"Midnight Black, Moonlight White, Rouge Red",,4.1,Adreno 508Adreno 505,True,True,Qualcomm SDM630 Snapdragon 630 (14 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,150.0,147.3,70.9,8.7,IPS LCD,5.5,245.0,16:10,Android,4000.0,165.0,Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,16:10,245.0,Wifi,"Deepsea Black, Sunlight Gold, Ruby Red",,4.2,Adreno 308Adreno 505,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,160.0,152.6,73.0,8.8,IPS LCD,5.7,424.0,18:9,Android,4130.0,275.0,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),18:9,424.0,Wifi,"Sunlight Gold, Azure Silver, Deepsea Black",,4.0,Mali-T860MP2,True,True,Mediatek MT6750T (28 nm),GSM / CDMA / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,147.1,146.6,72.6,7.6,AMOLED,5.2,424.0,16:9,Android,3000.0,110.00000000000001,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),16:9,424.0,Wifi,Sapphire Black,,4.2,Adreno 530,True,True,Qualcomm MSM8996 Snapdragon 820 (14 nm),GSM / HSPA / LTE,True,4GB,32GB
Asus,True,True,True,False,2017.0,Available,175.0,156.9,75.6,7.6,AMOLED,5.5,401.0,16:9,Android,3600.0,385.00000000000006,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),16:9,401.0,Wifi,"Moonlight white, Pure Black",,5.0,Adreno 540,True,True,Qualcomm MSM8998 Snapdragon 835 (10 nm),GSM / HSPA / LTE,True,6GB,64GB
Asus,True,True,True,False,2017.0,Available,165.0,155.4,75.2,7.7,IPS LCD,5.5,401.0,16:9,Android,3300.0,385.00000000000006,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53)Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),16:9,401.0,Wifi,"Moonlight white, Mint Green, Midnight Black",,5.0,Adreno 508Adreno 512,True,True,Qualcomm SDM630 Snapdragon 630 (14 nm)Qualcomm SDM660 Snapdragon 660 (14 nm),GSM / HSPA / LTE,True,4GB,64GB
Asus,True,True,True,False,2017.0,Available,144.0,155.7,75.9,7.9,IPS LCD,5.5,267.0,16:9,Android,3000.0,198.00000000000003,Quad-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Deepsea Black, Mint Green, Rose Pink, Sunlight Gold",,4.1,Adreno 308,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,144.0,155.7,75.9,7.9,IPS LCD,5.5,267.0,16:9,Android,3000.0,165.0,Octa-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Deepsea Black, Rose Pink, Sunlight Gold",,4.1,Adreno 505,True,True,Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2017.0,Available,147.0,154.0,74.8,6.9,AMOLED,5.5,401.0,16:9,Android,3000.0,275.0,Octa-core 2.0 GHz Cortex-A53,16:9,401.0,Wifi,"Rouge Red, Sunlight Gold, Deepsea Black",,4.2,Adreno 506,True,True,Qualcomm MSM8953 Snapdragon 625 (14 nm),GSM / HSPA / LTE,True,3GB,64GB
Asus,True,True,True,False,2017.0,Available,144.0,155.7,75.9,7.9,IPS LCD,5.5,267.0,16:9,Android,3000.0,275.0,Octa-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Deepsea Black, Mint Green, Rose Pink, Sunlight Gold",,4.1,Adreno 505,True,True,Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,4GB,64GB
Asus,True,True,True,False,2017.0,Available,156.0,150.5,73.3,8.8,IPS LCD,5.2,282.0,16:9,Android,4100.0,198.00000000000003,Quad-core 1.4 GHz Cortex-A53,16:9,282.0,Wifi,"Black, Gold, Silver",,4.1,Adreno 308,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,181.0,154.0,76.9,8.9,IPS LCD,5.5,267.0,16:9,Android,5000.0,275.0,Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Deepsea Black, Sunlight Gold, Rose Pink",,4.1,Adreno 308Adreno 505,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,2GB,32GB
Asus,True,True,True,False,2017.0,Available,181.0,154.0,76.9,8.9,IPS LCD,5.5,267.0,16:9,Android,5000.0,242.00000000000003,Quad-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Deepsea Black, Sunlight Gold, Rose Pink",,4.1,Adreno 308,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2017.0,Available,181.0,154.0,76.9,8.9,S-IPS LCD,5.5,267.0,16:9,Android,5000.0,297.0,Octa-core 1.4 GHz Cortex-A53,16:9,267.0,Wifi,"Titanium Gray, Rose Pink, Sand Gold, Deepsea Black",,4.1,Adreno 505,True,True,Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2017.0,Available,306.0,204.0,133.9,6.9,S-IPS LCD,7.9,324.0,4:3,Android,4680.0,231.00000000000003,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),4:3,324.0,Wifi,Black,,4.2,Adreno 510,True,True,Qualcomm MSM8976 Snapdragon 652 (28 nm),GSM / HSPA / LTE,True,3GB,16GB
Asus,True,True,True,False,2017.0,Available,,,,,IPS LCD,7.9,324.0,4:3,Android,4680.0,275.0,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),4:3,324.0,Wifi,Black,,4.1,Adreno 510,True,True,Qualcomm MSM8976 Snapdragon 652 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2017.0,Available,168.0,153.4,76.4,10.9,IPS LCD,5.5,267.0,16:9,Android,3000.0,132.0,Quad-core 1.2 GHz Cortex-A53,16:9,267.0,Wifi,"Charcoal Black, Pearl White, Glamor Red, Sheer Gold, Glacier Gray, Silver Blue",,4.0,Adreno 306,True,True,Qualcomm MSM8916 Snapdragon 410 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,120.0,141.2,71.7,8.0,IPS LCD,5.0,294.0,16:9,Android,2650.0,165.0,Quad-core 1.2 GHz Cortex-A53,16:9,294.0,Wifi,"Shimmer Gold/Rose, Pink/Navy Black",,4.0,Adreno 306,True,True,Qualcomm MSM8916 Snapdragon 410 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2017.0,Available,175.0,149.5,73.7,8.9,IPS LCD,5.2,282.0,16:9,Android,5000.0,198.00000000000003,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),16:9,282.0,Wifi,"Gold, Black",,4.0,Mali-T860MP2,True,True,Mediatek MT6750 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2017.0,Available,490.0,242.3,164.2,6.8,IPS LCD,9.7,264.0,4:3,Android,7800.0,385.00000000000006,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),4:3,264.0,Wifi,"Silver, Grey",,4.1,Adreno 510,True,True,Qualcomm MSM8956 Snapdragon 650,GSM / HSPA / LTE,True,4GB,32GB
Asus,True,True,True,False,2017.0,Available,170.0,158.7,77.7,9.0,Super AMOLED,5.7,515.0,16:9,Android,3300.0,407.00000000000006,Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),16:9,515.0,Wifi,Black,Project Tango,4.2,Adreno 530,True,True,Qualcomm MSM8996 Snapdragon 821 (14 nm),GSM / HSPA / LTE,True,6GB,64GB
